FAIXA ETÁRIA,SEXO,COR OU RACA,SITUACÃO DE CONCLUSÃO,ANO QUE CONCLUIU,ESCOLA,ENSINO,ESTADO DA ESCOLA,DEPENDÊNCIA ADM DA ESCOLA,LOCALIZACAO DA ESCOLA,SG_UF_PROVA,PRESENCA CIÊNCIAS DA NATUREZA,PRESENCA CIÊNCIAS HUMANAS,PRESENCA LINGUAGENS E CÓDIGOS,PRESENCA MATEMÁTICA,CÓDIGO DA PROVA CIÊNCIAS DA NATUREZA,CÓDIGO DA PROVA CIÊNCIAS HUMANAS,CÓDIGO DA PROVA LINGUAGENS E CÓDIGOS,CÓDIGO DA PROVA MATEMÁTICA,NOTA CIÊNCIAS DA NATUREZA,NOTA CIÊNCIAS HUMANAS,NOTA LINGUAGENS E CÓDIGOS,NOTA MATEMÁTICA,LÍNGUA ESTRANGEIRA,STATUS DA REDACÃO,NOTA REDACÃO,NOTA TOTAL,"FAIXA SALARIAL",POSSUI INTERNET EM CASA
23 anos,F,Branca,Não concluí e não estou cursando o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
21 anos,F,Parda,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,492.1,521.1,494.6,694.3,Inglês,Sem problemas,860.0,172.0,"De R$ 4.848,01 até R$ 6.060,00.",Sim
19 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RJ,Estadual,Urbana,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,417.0,434.1,445.0,424.1,Espanhol,Sem problemas,560.0,284.4,"Até R$ 1.212,00",Sim
Entre 31 e 35 anos,M,Parda,Já conluí o Ensino Médio,2011,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,519.6,438.2,430.8,547.0,Espanhol,Sem problemas,520.0,213.4,"Até R$ 1.212,00",Não
20 anos,F,Parda,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
18 anos,F,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,597.1,594.3,533.5,518.1,Inglês,Sem problemas,600.0,120.0,"Até R$ 1.212,00",Não
20 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,471.0,423.0,413.0,461.3,Espanhol,Sem problemas,280.0,317.4,"De R$ 1.212,01 até R$ 1.818,00.",Sim
20 anos,M,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,GO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,458.1,543.7,556.7,629.0,Inglês,Sem problemas,400.0,205.8,"De R$ 1.212,01 até R$ 1.818,00.",Sim
20 anos,M,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RN,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,628.0,600.3,583.2,579.7,Espanhol,Sem problemas,820.0,289.6,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 46 e 50 anos,F,Parda,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,544.7,516.6,518.2,383.2,Espanhol,Sem problemas,600.0,120.0,"Até R$ 1.212,00",Sim
18 anos,F,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,490.4,443.7,549.8,501.1,Espanhol,Sem problemas,780.0,156.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
18 anos,M,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,ES,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,610.9,635.4,585.2,822.6,Inglês,Sem problemas,900.0,180.0,"Acima de R$ 24.240,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,457.0,490.7,518.1,636.6,Inglês,Sem problemas,600.0,211.4,"Até R$ 1.212,00",Sim
18 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Amarela,Amarela,Não identificado,,362.9,440.6,,Espanhol,Cópia Texto Motivador,0.0,0.0,"Até R$ 1.212,00",Sim
19 anos,M,Preta,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,493.7,469.8,495.2,493.8,Inglês,Sem problemas,560.0,112.0,"Até R$ 1.212,00",Sim
17 anos,F,Amarela,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,GO,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Não
Entre 31 e 35 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,434.4,405.8,489.2,453.9,Inglês,Sem problemas,720.0,144.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,PR,Estadual,Urbana,PR,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 7.272,01 até R$ 8.484,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MG,Estadual,Urbana,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,414.4,513.3,474.2,581.7,Inglês,Em Branco,0.0,0.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
Entre 26 e 30 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,416.1,433.1,435.0,459.1,Espanhol,Sem problemas,240.0,135.0,"Até R$ 1.212,00",Não
24 anos,M,Branca,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 26 e 30 anos,M,Parda,Já conluí o Ensino Médio,2010,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Azul,Azul,Não identificado,,498.4,458.8,,Inglês,Sem problemas,620.0,124.0,"Até R$ 1.212,00",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,596.3,707.3,631.7,643.7,Inglês,Sem problemas,840.0,168.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
Entre 36 e 40 anos,F,Não declarado,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
19 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,GO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,466.4,359.7,371.7,594.5,Espanhol,Cópia Texto Motivador,0.0,0.0,"Até R$ 1.212,00",Sim
Entre 41 e 45 anos,F,Preta,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,541.0,537.7,501.7,550.0,Inglês,Sem problemas,600.0,338.2,"Até R$ 1.212,00",Não
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,GO,Estadual,Urbana,GO,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 26 e 30 anos,F,Preta,Já conluí o Ensino Médio,2014,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,473.6,484.8,504.0,563.1,Espanhol,Sem problemas,760.0,252.8,"De R$ 1.818,01 até R$ 2.424,00.",Sim
19 anos,F,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,566.9,575.9,606.3,526.5,Inglês,Sem problemas,600.0,120.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
Menor de 17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,494.0,494.2,472.6,457.0,Espanhol,Sem problemas,600.0,310.2,Nenhuma Renda,Não
18 anos,F,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,579.2,524.0,592.2,655.2,Inglês,Sem problemas,920.0,288.8,"De R$ 7.272,01 até R$ 8.484,00.",Sim
Menor de 17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,457.3,544.5,531.5,653.2,Inglês,Sem problemas,720.0,144.0,"De R$ 10.908,01 até R$ 12.120,00.",Sim
Menor de 17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,427.8,517.6,474.0,403.4,Inglês,Sem problemas,540.0,202.8,"De R$ 2.424,01 até R$ 3.030,00.",Sim
18 anos,F,Não declarado,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,TO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,510.9,498.3,414.6,412.2,Inglês,Sem problemas,560.0,112.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 26 e 30 anos,F,Preta,Já conluí o Ensino Médio,2013,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
21 anos,M,Branca,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,614.0,598.4,543.4,594.2,Inglês,Sem problemas,660.0,254.8,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Entre 31 e 35 anos,M,Preta,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
25 anos,F,Preta,Já conluí o Ensino Médio,2016,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,445.6,555.1,520.9,497.1,Espanhol,Sem problemas,400.0,80.0,"Até R$ 1.212,00",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,BA,Estadual,Urbana,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,463.0,430.4,373.4,414.8,Espanhol,Cópia Texto Motivador,0.0,92.6,"De R$ 10.908,01 até R$ 12.120,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SP,Privada,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,477.3,558.5,537.8,587.3,Inglês,Sem problemas,700.0,140.0,"De R$ 1.818,01 até R$ 2.424,00.",Não
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MS,Estadual,Urbana,MS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,484.3,413.6,389.8,369.1,Inglês,Fuga ao tema,0.0,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Não
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Rural,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,451.5,511.8,508.0,638.4,Espanhol,Sem problemas,680.0,237.6,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,DF,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Azul,Azul,Não identificado,,499.5,420.8,,Espanhol,Sem problemas,820.0,164.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 26 e 30 anos,F,Parda,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,GO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,433.2,503.9,441.5,508.2,Espanhol,Sem problemas,340.0,68.0,"Até R$ 1.212,00",Não
18 anos,M,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RO,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
19 anos,F,Parda,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,422.8,370.7,358.3,486.1,Espanhol,Sem problemas,340.0,68.0,Nenhuma Renda,Sim
20 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RS,Federal,Urbana,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,595.7,609.0,570.1,608.3,Inglês,Sem problemas,840.0,289.8,"De R$ 4.848,01 até R$ 6.060,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,398.0,406.9,434.5,472.9,Espanhol,Sem problemas,520.0,183.6,Nenhuma Renda,Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,AL,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,426.1,546.2,473.4,384.5,Espanhol,Sem problemas,880.0,176.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SP,Estadual,Urbana,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SE,Estadual,Urbana,SE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,434.4,553.3,564.3,533.7,Inglês,Sem problemas,840.0,168.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,475.0,478.6,477.0,391.3,Espanhol,Sem problemas,360.0,262.4,"De R$ 3.636,01 até R$ 4.848,00.",Sim
19 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,520.8,517.4,523.6,468.1,Espanhol,Sem problemas,680.0,136.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
20 anos,M,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,BA,Estadual,Urbana,BA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,Nenhuma Renda,Sim
Entre 26 e 30 anos,F,Parda,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Não
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Rosa,Rosa,Não identificado,,469.8,333.0,,Espanhol,Sem problemas,220.0,110.6,"Até R$ 1.212,00",Sim
Entre 31 e 35 anos,F,Parda,Já conluí o Ensino Médio,2009,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
20 anos,M,Parda,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,AL,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,606.5,603.1,588.7,659.1,Espanhol,Sem problemas,800.0,160.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
